Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,225280,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ca,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
2,Wow.,Post Malone,210638,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ca,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
3,SICKO MODE,Travis Scott,196378,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,ca,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
4,"thank u, next",Ariana Grande,195971,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ca,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
5,Going Bad (feat. Drake),Meek Mill,157739,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,ca,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
6,ZEZE,Kodak Black,142000,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,ca,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
7,Mo Bamba,Sheck Wes,133092,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,ca,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
8,Without Me,Halsey,123241,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ca,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
9,Happier,Marshmello,122434,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ca,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
10,Eastside (with Halsey & Khalid),benny blanco,118666,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,ca,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
