Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Benzema,Capital Bra,29206,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,1,ch
2,Sweet but Psycho,Ava Max,25261,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,ch
3,HaifischNikez Allstars,LX,20493,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,1,ch
4,Lelele,Azet,19556,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,1,ch
5,High Hopes,Panic! At The Disco,19235,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,ch
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18238,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,ch
7,Baller los,MERO,16892,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1,ch
8,In My Mind,Dynoro,16313,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,ch
9,Tausend Tattoos,Sido,16125,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1,ch
10,MIA (feat. Drake),Bad Bunny,15159,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,ch
11,Wow.,Post Malone,15068,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ch
12,Without Me,Halsey,14609,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ch
13,Shallow,Lady Gaga,13886,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,ch
14,"thank u, next",Ariana Grande,13637,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ch
15,Be Alright,Dean Lewis,13391,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,ch
16,Bad Liar,Imagine Dragons,12867,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,ch
17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,12496,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,ch
18,ZEZE,Kodak Black,12366,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,ch
19,Happier,Marshmello,11950,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ch
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,11118,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ch
21,SICKO MODE,Travis Scott,10747,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,ch
22,Promises (with Sam Smith),Calvin Harris,10155,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,ch
23,Bohemian Rhapsody - Remastered 2011,Queen,9927,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,ch
24,Let You Love Me,Rita Ora,9820,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,ch
25,079,Lo & Leduc,9536,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9,2019,1,1,ch
26,Mo Bamba,Sheck Wes,9327,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,ch
27,Body (feat. Brando),Loud Luxury,9261,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,ch
28,500 PS,Bonez MC,9054,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,1,1,ch
29,SAD!,XXXTENTACION,9044,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,ch
30,Eastside (with Halsey & Khalid),benny blanco,8850,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,ch
31,Moonlight,XXXTENTACION,8752,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,ch
32,Feuer,Capital Bra,8651,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019,1,1,ch
33,Better Now,Post Malone,8445,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,ch
34,Girls Like You (feat. Cardi B),Maroon 5,8421,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,ch
35,Adan y Eva,Paulo Londra,8167,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,ch
36,I Like It,Cardi B,8125,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,ch
37,Going Bad (feat. Drake),Meek Mill,8058,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,ch
