Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Adan y Eva,Paulo Londra,284493,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,es,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4
2,MALA,6ix9ine,218829,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019,1,1,es,0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,206550,4
3,Adictiva,Daddy Yankee,202504,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,1,es,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4
4,MIA (feat. Drake),Bad Bunny,187984,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,es,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
5,Ella Quiere Beber - Remix,Anuel AA,174778,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,es,0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,170698,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,es,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
7,Booty,C. Tangana,169766,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019,1,1,es,0.825,0.771,1,-4.116,1,0.0804,0.0167,2.04e-06,0.0901,0.718,102.927,173366,4
8,NI BIEN NI MAL,Bad Bunny,156397,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,1,1,es,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4
9,Imposible,Luis Fonsi,147659,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,1,1,es,0.786,0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4
10,Vas A Quedarte,Aitana,146206,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019,1,1,es,0.395,0.508,7,-3.522,1,0.0326,0.795,3.63e-06,0.0627,0.168,89.859,226213,4
11,Amanece,Anuel AA,141624,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019,1,1,es,0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4
12,Vaina Loca,Ozuna,137770,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,es,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4
13,Solo de Mi,Bad Bunny,137720,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,1,1,es,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4
14,Calma - Remix,Pedro Capó,133955,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,es,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4
15,Bubalu,Becky G,125678,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,1,es,0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4
16,MALAMENTE - Cap.1: Augurio,ROSALÍA,125613,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,2019,1,1,es,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,150027,4
17,Está Rico,Marc Anthony,122574,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2019,1,1,es,0.817,0.74,11,-4.566,0,0.283,0.266,0,0.0992,0.674,130.04,215151,4
18,Replay,Maikel Delacalle,111582,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb,2019,1,1,es,0.726,0.8,11,-5.858,0,0.0588,0.203,0.000175,0.107,0.765,109.984,217104,4
19,Ibiza,Ozuna,110132,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019,1,1,es,0.691,0.71,5,-5.144,1,0.334,0.254,0,0.108,0.726,192.046,200747,4
20,BEBE,6ix9ine,104485,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,1,es,0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4
21,Mujer Bruja,Lola Indigo,102902,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA,2019,1,1,es,0.773,0.917,10,-2.166,0,0.0629,0.0946,0.000109,0.0885,0.763,105.966,203774,4
22,Cuando Te Besé,Becky G,101367,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,1,es,0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,4
