Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Binks to Binks 6,Ninho,225296,https://open.spotify.com/track/4zrEmFA3R3JngfWR70zu3w,2019,1,1,fr
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,152045,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,fr
3,Tout oublier,Angèle,140848,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019,1,1,fr
4,Madrina,Maes,139685,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,2019,1,1,fr
5,Ramenez la coupe à la maison,Vegedream,127319,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m,2019,1,1,fr
6,Copines,Aya Nakamura,125522,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL,2019,1,1,fr
7,Sale mood,Bramsito,121557,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm,2019,1,1,fr
8,1000°C,Lomepal,118070,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019,1,1,fr
9,Jaloux,Dadju,108095,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT,2019,1,1,fr
10,Djadja,Aya Nakamura,104186,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,2019,1,1,fr
11,La dot,Aya Nakamura,98510,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG,2019,1,1,fr
12,Say My Name,David Guetta,98363,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,1,fr
13,Promises (with Sam Smith),Calvin Harris,96198,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,fr
14,Rêves bizarres (feat. Damso),Orelsan,92895,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW,2019,1,1,fr
15,MIA (feat. Drake),Bad Bunny,91800,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,fr
16,Trop beau,Lomepal,85691,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019,1,1,fr
17,Shallow,Lady Gaga,84112,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,fr
18,Billets verts,Maes,82526,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L,2019,1,1,fr
19,Air Max,Rim'K,81744,https://open.spotify.com/track/6qk9lEM6UIxNbAuI0PpOLu,2019,1,1,fr
20,Later Bitches,The Prince Karma,79543,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9,2019,1,1,fr
21,À nos souvenirs,Trois Cafés Gourmands,78334,https://open.spotify.com/track/4h3SqMd5F16XJVdGp5fsZG,2019,1,1,fr
22,Moonlight,XXXTENTACION,77600,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,fr
23,High Hopes,Panic! At The Disco,77310,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,fr
24,Ma 6t a craqué (feat. Ninho),Kpoint,74474,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS,2019,1,1,fr
25,"thank u, next",Ariana Grande,73838,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,fr
26,Sucette (feat. Niska),Aya Nakamura,70174,https://open.spotify.com/track/3qHs2PoiJMPvdxgyRSvqAl,2019,1,1,fr
27,In My Mind,Dynoro,67886,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,fr
28,Ma che beauté,Jul,67221,https://open.spotify.com/track/0XXooKwo0L6gxn0OxZFDXw,2019,1,1,fr
29,Jon Snow,Lacrim,66733,https://open.spotify.com/track/2pz2M2tXX8ROcV1Pesr725,2019,1,1,fr
30,One Kiss (with Dua Lipa),Calvin Harris,66201,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,1,fr
31,Alright,Jain,66187,https://open.spotify.com/track/44ahv3Zj4FOJoy8gJLZF9B,2019,1,1,fr
32,Bella,MHD,64679,https://open.spotify.com/track/0O4XHiuVt3dBaOzSI49BtF,2019,1,1,fr
33,Paradise (feat. Benjamin Ingrosso),Ofenbach,64639,https://open.spotify.com/track/50SEeQXOJgaXPv2S0v7ded,2019,1,1,fr
34,Bohemian Rhapsody - Remastered 2011,Queen,64101,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,fr
35,Sweet but Psycho,Ava Max,63188,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,fr
36,Plus tard,Bigflo & Oli,62798,https://open.spotify.com/track/6KXZwMCjsRzhkJ3ccnYUJ8,2019,1,1,fr
37,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,62599,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,fr
38,Mafiosa (feat. Caroliina),Lartiste,62194,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6,2019,1,1,fr
39,Happier,Marshmello,62034,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,fr
40,Bae,RK,60290,https://open.spotify.com/track/5as5HurTt4u7BuFIT5j8am,2019,1,1,fr
41,Train de vie,Koba LaD,60050,https://open.spotify.com/track/6FqNHDHEsUTKqVWXBkMd9y,2019,1,1,fr
42,Je te le donne (en duo avec Slimane),Vitaa,59420,https://open.spotify.com/track/4yjqpsuyrbjyXHB6rC0mWo,2019,1,1,fr
43,BB,Booba,59285,https://open.spotify.com/track/0YCMh9HQkRpAtkj0i1sZqH,2019,1,1,fr
44,Tiago,Kendji Girac,58564,https://open.spotify.com/track/63eflEIBAF5VmO5AdVuZF7,2019,1,1,fr
45,Feu de bois,Damso,58419,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5,2019,1,1,fr
46,Thunderclouds,Sia,57529,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2019,1,1,fr
47,Mauvais,GLK,57029,https://open.spotify.com/track/3ABwQntK8i49EGOd3SSj7Q,2019,1,1,fr
48,X-men,Lomepal,56672,https://open.spotify.com/track/6A3bL3MlU0l54kKlgpw0UT,2019,1,1,fr
49,La même,Maître Gims,56086,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg,2019,1,1,fr
50,Ta reine,Angèle,55906,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1,2019,1,1,fr
51,Shape of You,Ed Sheeran,55352,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,fr
52,Dalida,Soolking,55255,https://open.spotify.com/track/7vSQVx20cqaYOVAVJwj00p,2019,1,1,fr
53,La thune,Angèle,55205,https://open.spotify.com/track/3iBOe7U7kRPNIoL3QLCVu2,2019,1,1,fr
54,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,54906,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,fr
55,Come and Get Your Love - Single Version,Redbone,54596,https://open.spotify.com/track/7GVUmCP00eSsqc4tzj1sDD,2019,1,1,fr
56,La C,Koba LaD,53367,https://open.spotify.com/track/5PtFV78R0DRvzsTqk1S0Vt,2019,1,1,fr
57,Shotgun,George Ezra,53357,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,fr
58,Natural,Imagine Dragons,53016,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,1,fr
59,La vérité,Lomepal,53007,https://open.spotify.com/track/1H0OfL0clmcI1odODWD2DS,2019,1,1,fr
60,SAD!,XXXTENTACION,51011,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,fr
61,Hit Sale (feat. Roméo Elvis),Therapie TAXI,50808,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA,2019,1,1,fr
62,Another One Bites The Dust - Remastered 2011,Queen,49938,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,1,1,fr
63,Solo (feat. Demi Lovato),Clean Bandit,49836,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019,1,1,fr
64,Mômes,Lomepal,49650,https://open.spotify.com/track/2FRnrkO72S9tbqu6eLjq6b,2019,1,1,fr
65,God's Plan,Drake,48907,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,fr
66,Débrouillard,Kaaris,48616,https://open.spotify.com/track/3r1Veo87Ex14aHT2KcJNnh,2019,1,1,fr
