Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Binks to Binks 6,Ninho,225296,https://open.spotify.com/track/4zrEmFA3R3JngfWR70zu3w,2019,1,1,fr,0.617,0.691,8,-5.18,0,0.418,0.627,0,0.117,0.346,104.711,246984,3
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,152045,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,fr,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
3,Tout oublier,Angèle,140848,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019,1,1,fr,0.692,0.542,11,-7.9,0,0.197,0.493,2.75e-06,0.247,0.285,105.005,202120,4
4,Madrina,Maes,139685,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,2019,1,1,fr,0.736,0.797,11,-5.168,0,0.0579,0.178,0.0192,0.36,0.713,122.984,220213,4
5,Ramenez la coupe à la maison,Vegedream,127319,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m,2019,1,1,fr,0.808,0.661,0,-6.237,0,0.0395,0.0358,0,0.138,0.804,107.992,235556,4
6,Copines,Aya Nakamura,125522,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL,2019,1,1,fr,0.701,0.787,8,-3.941,0,0.0852,0.268,0,0.105,0.904,180.024,171720,4
7,Sale mood,Bramsito,121557,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm,2019,1,1,fr,0.685,0.761,11,-4.556,0,0.0641,0.297,0,0.234,0.726,159.929,216326,4
8,1000°C,Lomepal,118070,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019,1,1,fr,0.706,0.553,3,-8.056,0,0.112,0.263,3.44e-05,0.111,0.392,102.996,235907,4
9,Jaloux,Dadju,108095,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT,2019,1,1,fr,0.558,0.797,8,-3.89,0,0.0739,0.193,0,0.399,0.368,139.992,233986,4
10,Djadja,Aya Nakamura,104186,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,2019,1,1,fr,0.829,0.797,5,-5.428,1,0.109,0.0617,0,0.112,0.549,97.972,171133,4
11,La dot,Aya Nakamura,98510,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG,2019,1,1,fr,0.428,0.513,0,-6.108,1,0.201,0.203,0,0.0947,0.753,215.219,201720,5
12,Say My Name,David Guetta,98363,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,1,fr,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947,4
13,Promises (with Sam Smith),Calvin Harris,96198,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,fr,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
14,Rêves bizarres (feat. Damso),Orelsan,92895,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW,2019,1,1,fr,0.816,0.652,10,-6.157,0,0.231,0.11,0,0.0957,0.736,143.995,212609,4
15,MIA (feat. Drake),Bad Bunny,91800,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,fr,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
16,Trop beau,Lomepal,85691,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019,1,1,fr,0.748,0.66,4,-6.034,0,0.0404,0.295,5.56e-06,0.0883,0.324,123.902,244587,4
17,Shallow,Lady Gaga,84112,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,fr,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
18,Billets verts,Maes,82526,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L,2019,1,1,fr,0.664,0.573,1,-8.727,1,0.0825,0.658,3.35e-06,0.129,0.39,154.043,169880,4
19,Air Max,Rim'K,81744,https://open.spotify.com/track/6qk9lEM6UIxNbAuI0PpOLu,2019,1,1,fr,0.82,0.591,1,-7.338,1,0.459,0.26,0,0.102,0.551,141.888,205867,4
20,Later Bitches,The Prince Karma,79543,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9,2019,1,1,fr,0.769,0.518,8,-6.563,1,0.102,0.000573,0.108,0.342,0.504,121.116,247976,4
21,À nos souvenirs,Trois Cafés Gourmands,78334,https://open.spotify.com/track/4h3SqMd5F16XJVdGp5fsZG,2019,1,1,fr,0.676,0.856,1,-4.609,0,0.134,0.305,0,0.0955,0.455,133.847,192990,4
22,Moonlight,XXXTENTACION,77600,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,fr,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
23,High Hopes,Panic! At The Disco,77310,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,fr,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
24,Ma 6t a craqué (feat. Ninho),Kpoint,74474,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS,2019,1,1,fr,0.816,0.684,11,-8.478,0,0.197,0.473,1.14e-06,0.137,0.815,89.999,197597,3
25,"thank u, next",Ariana Grande,73838,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,fr,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
