Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Sweet but Psycho,Ava Max,334456,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,gb,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
2,"thank u, next",Ariana Grande,317204,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,gb,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,255033,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,gb,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
4,Without Me,Halsey,232117,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,gb,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
5,Wow.,Post Malone,202739,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,gb,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
6,Shotgun,George Ezra,181135,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,gb,0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4
7,SICKO MODE,Travis Scott,176639,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,gb,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
8,ZEZE,Kodak Black,161345,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,gb,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
9,Eastside (with Halsey & Khalid),benny blanco,150731,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,gb,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
10,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,148652,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,gb,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
11,Ruin My Life,Zara Larsson,143642,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,gb,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,4
12,Happier,Marshmello,141468,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,gb,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
13,Promises (with Sam Smith),Calvin Harris,139611,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,gb,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
14,This Is Me,Keala Settle,135094,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,2019,1,1,gb,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
15,The Greatest Show,Hugh Jackman,133059,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,2019,1,1,gb,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147,4
16,Funky Friday,Dave,130825,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO,2019,1,1,gb,0.975,0.535,1,-7.227,1,0.196,0.0783,0,0.107,0.671,125.066,182741,4
17,Woman Like Me (feat. Nicki Minaj),Little Mix,129870,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,1,1,gb,0.754,0.854,5,-3.449,0,0.0608,0.177,0,0.0808,0.8,75.002,229720,4
18,Shallow,Lady Gaga,123802,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,gb,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
19,Going Bad (feat. Drake),Meek Mill,119605,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,gb,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
20,A Million Dreams,Ziv Zaifman,118218,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z,2019,1,1,gb,0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,269453,3
21,when the party's over,Billie Eilish,117638,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,gb,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3
22,Mo Bamba,Sheck Wes,116345,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,gb,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,116145,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,gb,0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4
24,Rewrite The Stars,Zac Efron,113106,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2019,1,1,gb,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,217440,4
25,Play,Jax Jones,112956,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,2019,1,1,gb,0.771,0.768,11,-7.773,0,0.0451,0.0266,1.26e-05,0.426,0.607,125.023,186240,4
26,Thursday,Jess Glynne,112852,https://open.spotify.com/track/3ji4bcQugJj5B6NRGYDNwP,2019,1,1,gb,0.82,0.582,2,-4.441,1,0.0454,0.428,0,0.0419,0.309,112.064,214027,4
27,imagine,Ariana Grande,111077,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,gb,0.714,0.474,8,-4.993,1,0.039,0.374,0,0.106,0.376,62.484,212293,3
28,Better Now,Post Malone,110850,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,gb,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4
29,High Hopes,Panic! At The Disco,109133,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,gb,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
30,Lucid Dreams,Juice WRLD,108833,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,gb,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
31,Let You Love Me,Rita Ora,101640,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,gb,0.475,0.846,10,-3.344,1,0.283,0.275,0,0.0824,0.451,96.036,191120,4
32,Taste (feat. Offset),Tyga,99611,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,gb,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,4
33,God's Plan,Drake,99468,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,gb,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
34,Mr. Brightside,The Killers,98784,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,1,1,gb,0.33,0.936,1,-3.66,1,0.0917,0.00108,0,0.0926,0.234,148.112,222587,4
35,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,98242,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,1,gb,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,218293,4
36,In My Feelings,Drake,98048,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,1,gb,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
37,Never Enough,Loren Allred,97891,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J,2019,1,1,gb,0.277,0.394,8,-8.903,1,0.0336,0.423,0,0.0952,0.227,86.777,207787,3
38,1999,Charli XCX,97808,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,2019,1,1,gb,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4
39,One Kiss (with Dua Lipa),Calvin Harris,97373,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,1,gb,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
40,SAD!,XXXTENTACION,96763,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,gb,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
41,Better,Khalid,95319,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,gb,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
42,Body (feat. Brando),Loud Luxury,94928,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,gb,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
43,Bohemian Rhapsody - Remastered 2011,Queen,93214,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,gb,0.397,0.396,3,-9.91,1,0.05,0.254,0,0.268,0.227,142.913,354320,4
44,Empty Space,James Arthur,92494,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe,2019,1,1,gb,0.404,0.531,1,-4.328,1,0.103,0.215,0,0.0521,0.321,164.848,214227,4
45,The Other Side,Hugh Jackman,89754,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr,2019,1,1,gb,0.638,0.795,0,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99,214373,4
46,Kiss and Make Up,Dua Lipa,89383,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,1,gb,0.675,0.729,8,-4.383,1,0.146,0.0557,0,0.189,0.63,99.986,190560,4
47,Paradise,George Ezra,87896,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,2019,1,1,gb,0.642,0.881,11,-3.537,1,0.0393,0.209,0,0.21,0.913,138.03,222045,4
48,Drip Too Hard (Lil Baby & Gunna),Lil Baby,86882,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,gb,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
49,rockstar (feat. 21 Savage),Post Malone,86074,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,gb,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147,4
50,KIKA,6ix9ine,85705,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,1,gb,0.745,0.715,1,-3.368,0,0.245,0.128,0,0.182,0.342,94.513,136032,4
51,2002,Anne-Marie,83990,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,1,gb,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4
52,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,83886,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,gb,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4
53,Don't Stop Me Now - Remastered,Queen,83833,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,1,1,gb,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4
54,Girls Like You (feat. Cardi B),Maroon 5,82881,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,gb,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4
55,Nice For What,Drake,81729,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019,1,1,gb,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747,4
56,Gun Lean,Russ splash,81546,https://open.spotify.com/track/4WYRFY0yFa2s1WeX0w84z6,2019,1,1,gb,0.901,0.679,8,-8.87,1,0.474,0.375,1.09e-05,0.105,0.72,139.962,213748,4
57,I Like It,Cardi B,80676,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,gb,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
58,no tears left to cry,Ariana Grande,80527,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,1,1,gb,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
59,Advice,Cadet,78841,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm,2019,1,1,gb,0.911,0.529,9,-7.996,0,0.328,0.201,0,0.101,0.76,105.067,192571,4
60,Saturday Nights,Khalid,78685,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,1,gb,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,76921,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,gb,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
62,In My Mind,Dynoro,76382,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,gb,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
63,Just Got Paid,Sigala,76226,https://open.spotify.com/track/5CpkVOosLFc83LbwqO6hnI,2019,1,1,gb,0.734,0.921,6,-1.936,0,0.0863,0.0328,0,0.197,0.654,120.056,218480,4
64,From Now On,Hugh Jackman,76068,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO,2019,1,1,gb,0.516,0.518,4,-10.383,1,0.04,0.00483,0.00895,0.585,0.0834,108.027,349560,4
65,Come Alive,Hugh Jackman,75819,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g,2019,1,1,gb,0.702,0.77,7,-9.411,1,0.128,0.00558,0.000802,0.211,0.235,118.034,225933,4
66,Leave Me Alone,Flipp Dinero,75434,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,1,gb,0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4
67,Moonlight,XXXTENTACION,74818,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,gb,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
68,Youngblood,5 Seconds of Summer,74783,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,1,1,gb,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
69,It's Not Living (If It's Not With You),The 1975,74766,https://open.spotify.com/track/3TgMcrV32NUKjEG2ujn9eh,2019,1,1,gb,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,248336,4
70,Electricity (with Dua Lipa),Silk City,74368,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2019,1,1,gb,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4
71,Back & Forth,MK,74206,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA,2019,1,1,gb,0.684,0.816,10,-5.211,0,0.0322,0.0181,0,0.0222,0.702,121.993,196215,4
72,No Stylist,French Montana,72915,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019,1,1,gb,0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4
73,These Days,Rudimental,72522,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019,1,1,gb,0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,210773,4
74,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,71722,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj,2019,1,1,gb,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4
75,Solo (feat. Demi Lovato),Clean Bandit,70971,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019,1,1,gb,0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,222707,4
76,I'll Be There,Jess Glynne,69952,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ,2019,1,1,gb,0.627,0.858,7,-3.116,1,0.0394,0.0288,0,0.199,0.399,100.074,194387,4
