Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,39055,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,nz
2,"thank u, next",Ariana Grande,38962,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,nz
3,Sweet but Psycho,Ava Max,37079,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,nz
4,Without Me,Halsey,32277,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,nz
5,Wow.,Post Malone,31076,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,nz
6,Shotgun,George Ezra,30989,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,nz
7,Better,Khalid,27953,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,nz
8,Eastside (with Halsey & Khalid),benny blanco,27206,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,nz
9,Shallow,Lady Gaga,26200,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,nz
10,Happier,Marshmello,25309,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,nz
11,SICKO MODE,Travis Scott,23470,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,nz
12,Body (feat. Brando),Loud Luxury,21426,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,nz
13,Vibes,Six60,21245,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,1,1,nz
14,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,20152,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,nz
15,when the party's over,Billie Eilish,20122,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,nz
16,Mo Bamba,Sheck Wes,19405,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,nz
