Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,39055,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,nz,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
2,"thank u, next",Ariana Grande,38962,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,nz,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
3,Sweet but Psycho,Ava Max,37079,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,nz,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
4,Without Me,Halsey,32277,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,nz,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
5,Wow.,Post Malone,31076,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,nz,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
6,Shotgun,George Ezra,30989,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,nz,0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4
7,Better,Khalid,27953,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,nz,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
8,Eastside (with Halsey & Khalid),benny blanco,27206,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,nz,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
9,Shallow,Lady Gaga,26200,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,nz,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
10,Happier,Marshmello,25309,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,nz,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
11,SICKO MODE,Travis Scott,23470,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,nz,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
12,Body (feat. Brando),Loud Luxury,21426,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,nz,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
13,Vibes,Six60,21245,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,1,1,nz,0.823,0.44,5,-8.465,0,0.0346,0.0375,1.84e-05,0.0945,0.692,102.997,211959,4
14,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,20152,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,nz,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
15,when the party's over,Billie Eilish,20122,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,nz,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3
16,Mo Bamba,Sheck Wes,19405,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,nz,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
17,ZEZE,Kodak Black,19396,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,nz,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
18,Youngblood,5 Seconds of Summer,19372,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,1,1,nz,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
