Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Bir İhtimal Biliyorum,Gülşen,108528,https://open.spotify.com/track/24mpJgP2YZUBif9NvmYyh4,2019,1,1,tr,0.692,0.518,1,-9.391,1,0.0407,0.0183,0,0.284,0.326,98.02,210232,4
2,3 2 1,Ben Fero,65605,https://open.spotify.com/track/15DPWEQ73JEW3pfyU6EcmR,2019,1,1,tr,0.841,0.635,6,-5.616,1,0.169,0.304,0,0.0978,0.445,145.966,216100,4
3,Sana Doğru,Bora Duran,63799,https://open.spotify.com/track/79sYvkdnJGFrYx67nBL5Nk,2019,1,1,tr,0.719,0.826,9,-3.319,1,0.0297,0.0652,0.000684,0.314,0.586,114.026,210931,4
4,Geceler,Ezhel,58366,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ,2019,1,1,tr,0.788,0.497,11,-10.964,0,0.151,0.37,4.5e-06,0.0939,0.339,130.02,222928,4
5,İçimdeki Sen,Bilal Sonses,56381,https://open.spotify.com/track/4JHfs0fmHtk9IbaQ3CqXSD,2019,1,1,tr,0.577,0.734,2,-5.139,0,0.0413,0.513,0,0.247,0.647,150.124,262600,4
6,Kazıdık Tırnaklarla,Ezhel,52524,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv,2019,1,1,tr,0.704,0.521,1,-6.271,1,0.135,0.139,0,0.0998,0.358,139.821,172609,4
7,KAFA10,Anıl Piyancı,50976,https://open.spotify.com/track/7fUGWMgLzsVdID1eKoPm3b,2019,1,1,tr,0.777,0.668,5,-6.088,0,0.174,0.241,0,0.311,0.544,149.956,254000,4
8,Mary Jane (Radio Edit),Burry Soprano,50296,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo,2019,1,1,tr,0.871,0.561,1,-7.155,1,0.0525,0.627,1.08e-06,0.0878,0.0951,122.041,180984,4
9,Unutturmam,Cengiz Ateş,45432,https://open.spotify.com/track/186rAYS0x7rX1IZXheLBoN,2019,1,1,tr,0.724,0.886,6,-4.044,1,0.108,0.0402,0,0.0521,0.854,102.029,198824,4
10,Leyla,Tahribad-ı İsyan,43807,https://open.spotify.com/track/31EltOuKi4PBBExtTTO00s,2019,1,1,tr,0.773,0.672,8,-5.493,0,0.0684,0.601,3.7e-06,0.139,0.247,110.014,241091,4
11,Mahallemiz Esmer,Ben Fero,41796,https://open.spotify.com/track/4dVq7rEV6AozzDX9fh9vVH,2019,1,1,tr,0.772,0.716,5,-4.454,1,0.219,0.109,2.3e-05,0.0746,0.388,140.07,226768,4
12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,41159,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,tr,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
13,Ay Tenli Kadın,Ufuk Beydemir,40578,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8,2019,1,1,tr,0.533,0.541,6,-7.854,1,0.0252,0.217,4.39e-06,0.11,0.335,144.135,197967,4
14,Elbet Bir Gün,Canbay & Wolker,39893,https://open.spotify.com/track/1PJ1BbGaVmLogYicLKoZix,2019,1,1,tr,0.655,0.616,6,-8.67,1,0.173,0.0912,2.44e-05,0.247,0.396,139.971,246857,4
15,Islah,Muşta,39739,https://open.spotify.com/track/5AS7el6HMlK5YcGeUSxR1n,2019,1,1,tr,0.807,0.67,1,-6.255,1,0.0871,0.757,1.01e-06,0.123,0.243,109.95,232253,4
16,Tarifi Zor,Soner Sarıkabadayı,39472,https://open.spotify.com/track/48BDdjRPUJLjqj7nVmrg4d,2019,1,1,tr,0.732,0.68,0,-6.097,1,0.102,0.42,3.44e-06,0.107,0.421,137.965,212015,4
17,Yak Yak Yak,Şehinşah,39467,https://open.spotify.com/track/4GjIoWGPLf7C8LcjK1UNlS,2019,1,1,tr,0.756,0.606,2,-8.74,1,0.273,0.129,0,0.128,0.372,120.277,283200,4
18,İmkansızım,Ezhel,38140,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe,2019,1,1,tr,0.83,0.515,6,-5.942,0,0.424,0.129,0,0.1,0.692,95.209,222329,4
