Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1867789,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,us
2,Wow.,Post Malone,1564946,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,us
3,SICKO MODE,Travis Scott,1454622,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,us
4,"thank u, next",Ariana Grande,1397512,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,us
5,Going Bad (feat. Drake),Meek Mill,1245437,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,us
6,Mo Bamba,Sheck Wes,1188824,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,us
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1178459,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,us
8,ZEZE,Kodak Black,1163374,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,us
9,Without Me,Halsey,972371,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,us
10,Leave Me Alone,Flipp Dinero,858875,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,1,us
11,Lucid Dreams,Juice WRLD,804928,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,us
12,Wake Up in the Sky,Gucci Mane,800164,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,1,1,us
13,Happier,Marshmello,736137,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,us
14,a lot,21 Savage,708965,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,1,us
15,Money,Cardi B,697968,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,1,1,us
16,MIA (feat. Drake),Bad Bunny,693951,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,us
17,I Like It,Cardi B,692217,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,us
18,Look Back at It,A Boogie Wit da Hoodie,685428,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,1,us
19,Better Now,Post Malone,677444,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,us
20,SAD!,XXXTENTACION,672912,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,us
21,Eastside (with Halsey & Khalid),benny blanco,651817,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,us
22,God's Plan,Drake,651722,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,us
23,rockstar (feat. 21 Savage),Post Malone,625774,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,us
24,Nonstop,Drake,621972,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,1,us
25,High Hopes,Panic! At The Disco,619788,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,us
26,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,617625,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019,1,1,us
27,monster,21 Savage,609270,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019,1,1,us
28,whoa (mind in awe),XXXTENTACION,596777,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019,1,1,us
29,Moonlight,XXXTENTACION,575048,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,us
30,Taste (feat. Offset),Tyga,571013,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,us
31,imagine,Ariana Grande,563447,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,us
32,Better,Khalid,550240,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,us
33,Armed And Dangerous,Juice WRLD,550122,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019,1,1,us
34,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,526153,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,us
35,Sweet but Psycho,Ava Max,517960,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,us
36,BAD!,XXXTENTACION,511990,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019,1,1,us
37,Saturday Nights,Khalid,497032,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,1,us
38,Yes Indeed,Lil Baby,487028,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,2019,1,1,us
39,KIKA,6ix9ine,479744,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,1,us
40,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,474057,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,us
41,Psycho (feat. Ty Dolla $ign),Post Malone,473934,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,1,1,us
42,when the party's over,Billie Eilish,470575,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,us
43,FEFE,6ix9ine,465215,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,2019,1,1,us
44,In My Feelings,Drake,453913,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,1,us
45,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,446094,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,2019,1,1,us
46,YOSEMITE,Travis Scott,443633,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,2019,1,1,us
47,Nice For What,Drake,443549,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019,1,1,us
48,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,437623,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,us
49,all my friends,21 Savage,435373,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l,2019,1,1,us
50,Girls Like You (feat. Cardi B),Maroon 5,434601,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,us
51,Jocelyn Flores,XXXTENTACION,434102,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,1,1,us
52,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,421035,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ,2019,1,1,us
53,Fine China,Future,408493,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN,2019,1,1,us
54,I Fall Apart,Post Malone,402059,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,1,1,us
55,Space Cadet (feat. Gunna),Metro Boomin,397562,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,2019,1,1,us
56,lovely,Billie Eilish,387799,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,1,us
57,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,387710,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy,2019,1,1,us
58,Look Alive (feat. Drake),BlocBoy JB,384554,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,2019,1,1,us
59,Topanga,Trippie Redd,382370,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO,2019,1,1,us
60,Calling My Spirit,Kodak Black,378905,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,2019,1,1,us
61,No Stylist,French Montana,378402,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019,1,1,us
