,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Benzema,Capital Bra,29206,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,1,ch,0
1,2,Sweet but Psycho,Ava Max,25261,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,ch,0
2,3,HaifischNikez Allstars,LX,20493,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,1,ch,0
3,4,Lelele,Azet,19556,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,1,ch,0
4,5,High Hopes,Panic! At The Disco,19235,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,ch,0
5,6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18238,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,ch,0
6,7,Baller los,MERO,16892,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1,ch,0
7,8,In My Mind,Dynoro,16313,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,ch,0
8,9,Tausend Tattoos,Sido,16125,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1,ch,0
9,10,MIA (feat. Drake),Bad Bunny,15159,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,ch,0
10,11,Wow.,Post Malone,15068,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ch,0
11,12,Without Me,Halsey,14609,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ch,0
12,13,Shallow,Lady Gaga,13886,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,ch,0
13,14,"thank u, next",Ariana Grande,13637,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ch,0
14,15,Be Alright,Dean Lewis,13391,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,ch,0
15,16,Bad Liar,Imagine Dragons,12867,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,ch,0
16,17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,12496,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,ch,0
17,18,ZEZE,Kodak Black,12366,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,ch,0
18,19,Happier,Marshmello,11950,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ch,0
19,20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,11118,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ch,0
20,21,SICKO MODE,Travis Scott,10747,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,ch,0
21,22,Promises (with Sam Smith),Calvin Harris,10155,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,ch,0
22,23,Bohemian Rhapsody - Remastered 2011,Queen,9927,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,ch,0
23,24,Let You Love Me,Rita Ora,9820,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,ch,0
24,25,079,Lo & Leduc,9536,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9,2019,1,1,ch,0
25,26,Mo Bamba,Sheck Wes,9327,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,ch,0
26,27,Body (feat. Brando),Loud Luxury,9261,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,ch,0
27,28,500 PS,Bonez MC,9054,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,1,1,ch,0
28,29,SAD!,XXXTENTACION,9044,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,ch,0
29,30,Eastside (with Halsey & Khalid),benny blanco,8850,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,ch,0
30,31,Moonlight,XXXTENTACION,8752,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,1,ch,0
31,32,Feuer,Capital Bra,8651,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019,1,1,ch,0
32,33,Better Now,Post Malone,8445,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,ch,0
33,34,Girls Like You (feat. Cardi B),Maroon 5,8421,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,ch,0
34,35,Adan y Eva,Paulo Londra,8167,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,ch,0
35,36,I Like It,Cardi B,8125,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,ch,0
36,37,Going Bad (feat. Drake),Meek Mill,8058,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,ch,0
37,38,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,7997,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019,1,1,ch,0
38,39,when the party's over,Billie Eilish,7901,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,ch,0
39,40,Rise,Jonas Blue,7892,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,1,1,ch,0
40,41,Cataleya,Samra,7845,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019,1,1,ch,0
41,42,Perfekt (feat. Sofiane),RAF Camora,7783,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019,1,1,ch,0
42,43,rockstar (feat. 21 Savage),Post Malone,7729,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,ch,0
43,44,Natural,Imagine Dragons,7705,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,1,ch,0
44,45,Nevermind,Dennis Lloyd,7703,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2019,1,1,ch,0
45,46,Meer,Luciano,7701,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd,2019,1,1,ch,0
46,47,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,7698,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,ch,0
47,48,KIKA,6ix9ine,7686,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,1,ch,0
48,49,Love Someone,Lukas Graham,7523,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,1,1,ch,0
49,50,Solo (feat. Demi Lovato),Clean Bandit,7350,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019,1,1,ch,0
50,51,Zoey,Nimo,7339,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019,1,1,ch,0
51,52,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,7135,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,ch,0
52,53,Calma - Remix,Pedro Capó,7035,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,ch,0
53,54,One Kiss (with Dua Lipa),Calvin Harris,7025,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,1,ch,0
54,55,Lucid Dreams,Juice WRLD,6966,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,ch,0
55,56,Trampoline,SHAED,6940,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,2019,1,1,ch,0
56,57,Facetime,Dardan,6875,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2,2019,1,1,ch,0
57,58,These Days,Rudimental,6854,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019,1,1,ch,0
58,59,Don't Stop Me Now - Remastered,Queen,6842,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,1,1,ch,0
59,60,Taste (feat. Offset),Tyga,6814,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,ch,0
60,61,Better,Khalid,6804,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,ch,0
61,62,Shotgun,George Ezra,6783,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,ch,0
62,63,Happy Now,Kygo,6691,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019,1,1,ch,0
63,64,Shape of You,Ed Sheeran,6626,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,ch,0
64,65,Binks to Binks 6,Ninho,6587,https://open.spotify.com/track/4zrEmFA3R3JngfWR70zu3w,2019,1,1,ch,0
65,66,Melodien (feat. Juju),Capital Bra,6582,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t,2019,1,1,ch,0
66,67,God's Plan,Drake,6573,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,ch,0
67,68,Drip Too Hard (Lil Baby & Gunna),Lil Baby,6533,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,ch,0
68,69,Say My Name,David Guetta,6395,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,1,ch,0
