,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Benzema,Capital Bra,439742,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,1,de,0
1,2,HaifischNikez Allstars,LX,373845,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,1,de,0
2,3,Sweet but Psycho,Ava Max,353209,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,de,0
3,4,Baller los,MERO,285326,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1,de,0
4,5,Tausend Tattoos,Sido,247009,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1,de,0
5,6,Lelele,Azet,240526,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,1,de,0
6,7,High Hopes,Panic! At The Disco,238731,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,de,0
7,8,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,215591,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019,1,1,de,0
8,9,In My Mind,Dynoro,205476,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,de,0
9,10,500 PS,Bonez MC,181041,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,1,1,de,0
10,11,Zoey,Nimo,179622,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019,1,1,de,0
11,12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,177941,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,de,0
12,13,Feuer,Capital Bra,165771,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019,1,1,de,0
13,14,Happier,Marshmello,161087,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,de,0
14,15,Without Me,Halsey,150364,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,de,0
15,16,"thank u, next",Ariana Grande,141857,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,de,0
16,17,Speechless (feat. Erika Sirola),Robin Schulz,139219,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019,1,1,de,0
17,18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,138632,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,de,0
18,19,Be Alright,Dean Lewis,138398,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,de,0
19,20,Wow.,Post Malone,138206,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,de,0
20,21,Meer,Luciano,137682,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd,2019,1,1,de,0
21,22,Ich liebe es (feat. XATAR & SAMY),Capital Bra,132616,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn,2019,1,1,de,0
22,23,Cataleya,Samra,129985,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019,1,1,de,0
