,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Sweet but Psycho,Ava Max,334456,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,gb,0
1,2,"thank u, next",Ariana Grande,317204,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,gb,0
2,3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,255033,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,gb,0
3,4,Without Me,Halsey,232117,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,gb,0
4,5,Wow.,Post Malone,202739,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,gb,0
5,6,Shotgun,George Ezra,181135,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,gb,0
6,7,SICKO MODE,Travis Scott,176639,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,gb,0
7,8,ZEZE,Kodak Black,161345,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,gb,0
8,9,Eastside (with Halsey & Khalid),benny blanco,150731,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,gb,0
9,10,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,148652,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,gb,0
10,11,Ruin My Life,Zara Larsson,143642,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,gb,0
11,12,Happier,Marshmello,141468,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,gb,0
12,13,Promises (with Sam Smith),Calvin Harris,139611,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,gb,0
13,14,This Is Me,Keala Settle,135094,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,2019,1,1,gb,0
14,15,The Greatest Show,Hugh Jackman,133059,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM,2019,1,1,gb,0
15,16,Funky Friday,Dave,130825,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO,2019,1,1,gb,0
16,17,Woman Like Me (feat. Nicki Minaj),Little Mix,129870,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,1,1,gb,0
17,18,Shallow,Lady Gaga,123802,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,gb,0
18,19,Going Bad (feat. Drake),Meek Mill,119605,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,gb,0
19,20,A Million Dreams,Ziv Zaifman,118218,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z,2019,1,1,gb,0
20,21,when the party's over,Billie Eilish,117638,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,gb,0
21,22,Mo Bamba,Sheck Wes,116345,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,gb,0
22,23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,116145,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,gb,0
23,24,Rewrite The Stars,Zac Efron,113106,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2019,1,1,gb,0
24,25,Play,Jax Jones,112956,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,2019,1,1,gb,0
25,26,Thursday,Jess Glynne,112852,https://open.spotify.com/track/3ji4bcQugJj5B6NRGYDNwP,2019,1,1,gb,0
26,27,imagine,Ariana Grande,111077,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,gb,0
27,28,Better Now,Post Malone,110850,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,gb,0
28,29,High Hopes,Panic! At The Disco,109133,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,gb,0
29,30,Lucid Dreams,Juice WRLD,108833,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,gb,0
30,31,Let You Love Me,Rita Ora,101640,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,gb,0
31,32,Taste (feat. Offset),Tyga,99611,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,gb,0
32,33,God's Plan,Drake,99468,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,gb,0
33,34,Mr. Brightside,The Killers,98784,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,1,1,gb,0
34,35,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,98242,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,1,gb,0
