,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,今夜このまま,Aimyon,33176,https://open.spotify.com/track/0sSG83UxY15ft1E2N9THYF,2019,1,1,jp,0
1,2,マリーゴールド,Aimyon,32759,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg,2019,1,1,jp,0
2,3,U.S.A.,DA PUMP,30172,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13,2019,1,1,jp,0
3,4,君はロックを聴かない,Aimyon,28155,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,2019,1,1,jp,0
4,5,打上花火,DAOKO×米津玄師,28140,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa,2019,1,1,jp,0
5,6,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,20929,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3,2019,1,1,jp,0
6,7,Bohemian Rhapsody - Remastered 2011,Queen,20014,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,jp,0
7,8,愛を伝えたいだとか,Aimyon,19893,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,2019,1,1,jp,0
8,9,Shape of You,Ed Sheeran,19815,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,jp,0
9,10,ワタリドリ,[ALEXANDROS],18551,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,2019,1,1,jp,0
10,11,HANABI,Mr.Children,18389,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i,2019,1,1,jp,0
11,12,愛をこめて花束を,Superfly,17706,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,2019,1,1,jp,0
12,13,恋音と雨空,AAA,17561,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,2019,1,1,jp,0
13,14,YES or YES,TWICE,16808,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP,2019,1,1,jp,0
14,15,小さな恋のうた,MONGOL800,16721,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg,2019,1,1,jp,0
15,16,Change,ONE OK ROCK,16041,https://open.spotify.com/track/6KBj27Bko8gh71gpx0PzIG,2019,1,1,jp,0
16,17,"thank u, next",Ariana Grande,15624,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,jp,0
17,18,Wherever you are,ONE OK ROCK,15603,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ,2019,1,1,jp,0
18,19,Sayonara Elegy,Masaki Suda,14656,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D,2019,1,1,jp,0
19,20,Stand Out Fit In,ONE OK ROCK,14601,https://open.spotify.com/track/1vVm7saDXHk99SU5BFUDpp,2019,1,1,jp,0
20,21,Kaerimichiwa Toomawarishitakunaru,Nogizaka46,14595,https://open.spotify.com/track/08XBLK5BlN5ZBLukMO49jy,2019,1,1,jp,0
21,22,366日,HY,13821,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,2019,1,1,jp,0
22,23,ハナミズキ,Yo Hitoto,13703,https://open.spotify.com/track/4PqDkR6YM80Sy590Qsy6mm,2019,1,1,jp,0
23,24,貴方解剖純愛歌〜死ね〜,Aimyon,13687,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL,2019,1,1,jp,0
24,25,Somebody To Love - Remastered 2011,Queen,13632,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2019,1,1,jp,0
25,26,Don't Stop Me Now - Remastered,Queen,13394,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,1,1,jp,0
26,27,My Boo,Shota Shimizu,13134,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03,2019,1,1,jp,0
27,28,愛唄,GReeeeN,13012,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq,2019,1,1,jp,0
28,29,新宝島,Sakanaction,12892,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1,2019,1,1,jp,0
29,30,What is Love?,TWICE,12514,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX,2019,1,1,jp,0
30,31,Another One Bites The Dust - Remastered 2011,Queen,12364,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,1,1,jp,0
31,32,生きていたんだよな,Aimyon,12346,https://open.spotify.com/track/69jrtjVjyzRyPCDg0dHYCX,2019,1,1,jp,0
32,33,Story,AI,12260,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV,2019,1,1,jp,0
33,34,満月の夜なら,Aimyon,11702,https://open.spotify.com/track/6UrocZrUx9Nb490ACF5UBP,2019,1,1,jp,0
34,35,We Will Rock You - Remastered,Queen,11682,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,2019,1,1,jp,0
35,36,Symphony (feat. Zara Larsson),Clean Bandit,11442,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,2019,1,1,jp,0
36,37,キセキ,GReeeeN,11376,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts,2019,1,1,jp,0
37,38,花束を君に,Hikaru Utada,11273,https://open.spotify.com/track/31yv1hR9gw1WSEmtqsaZbD,2019,1,1,jp,0
38,39,Killer Queen - Remastered 2011,Queen,11253,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8,2019,1,1,jp,0
39,40,鱗(うろこ),Motohiro Hata,11131,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN,2019,1,1,jp,0
40,41,Stay,Zedd,10879,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo,2019,1,1,jp,0
41,42,君に届け,flumpool,10865,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b,2019,1,1,jp,0
42,43,Shallow,Lady Gaga,10657,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,jp,0
43,44,Closer,The Chainsmokers,10606,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019,1,1,jp,0
44,45,The Middle,Zedd,10577,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,1,1,jp,0
45,46,どんなときも。,Noriyuki Makihara,10516,https://open.spotify.com/track/4feDzcxtXRU8clyOluco5Y,2019,1,1,jp,0
46,47,奏(かなで),Sukima Switch,10104,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,2019,1,1,jp,0
47,48,Stand By You,Official HIGE DANdism,10048,https://open.spotify.com/track/0XvOvUbvflmXxU8yqnF8Cp,2019,1,1,jp,0
48,49,Under Pressure - Remastered,Queen,9982,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019,1,1,jp,0
49,50,獣ゆく細道,Sheena Ringo,9896,https://open.spotify.com/track/3UJIq4L2TI6vdKyW0ed0e4,2019,1,1,jp,0
50,51,Synchronicity,Nogizaka46,9693,https://open.spotify.com/track/77m6PiiPEQGUxjNELzMyiF,2019,1,1,jp,0
51,52,no tears left to cry,Ariana Grande,9503,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,1,1,jp,0
52,53,青と夏,Mrs. GREEN APPLE,8867,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,2019,1,1,jp,0
53,54,RAIN,SEKAI NO OWARI,8799,https://open.spotify.com/track/40cPkRjw5aLQIOjaqgUVnB,2019,1,1,jp,0
54,55,Kataomoi,Aimer,8351,https://open.spotify.com/track/6g93YtKKHU2H1qIqhLIL0Y,2019,1,1,jp,0
55,56,Happier,Marshmello,8282,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,jp,0
56,57,世界はあなたに笑いかけている,Little Glee Monster,8233,https://open.spotify.com/track/3MN7FLxXoYpAG0S96C9VqO,2019,1,1,jp,0
57,58,Blizzard,Daichi Miura,8110,https://open.spotify.com/track/7b740cSOAeaW9SWiD1G823,2019,1,1,jp,0
58,59,さよならの前に,AAA,8097,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,2019,1,1,jp,0
59,60,R.Y.U.S.E.I.,J SOUL BROTHERS III,8087,https://open.spotify.com/track/0eio2xxlLcgMCSMPgJseeI,2019,1,1,jp,0
60,61,BDZ,TWICE,8070,https://open.spotify.com/track/6ceKChoZYLdw24Ph1CDFUJ,2019,1,1,jp,0
61,62,AM11:00,HY,8014,https://open.spotify.com/track/6YcvfXy4wTvjaIniIBuh30,2019,1,1,jp,0
62,63,Dance The Night Away,TWICE,7981,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA,2019,1,1,jp,0
63,64,FAKE LOVE,BTS,7973,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,2019,1,1,jp,0
64,65,La Vie en Rose,IZ*ONE,7957,https://open.spotify.com/track/1fRaznZsAB2i63TtmYv2Hc,2019,1,1,jp,0
65,66,まっしろ,Vickeblanka,7946,https://open.spotify.com/track/2PwOOgg8PavBNIWsPLIkr3,2019,1,1,jp,0
66,67,LIKEY,TWICE,7907,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI,2019,1,1,jp,0
67,68,WanteD! WanteD!,Mrs. GREEN APPLE,7863,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif,2019,1,1,jp,0
68,69,ふたりの世界,Aimyon,7833,https://open.spotify.com/track/5xJgF12zKoxMqayN8YldLB,2019,1,1,jp,0
69,70,Wolves,Selena Gomez,7830,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,2019,1,1,jp,0
70,71,The Beginning,ONE OK ROCK,7828,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD,2019,1,1,jp,0
71,72,Garasu Wo Ware!,Keyakizaka46,7765,https://open.spotify.com/track/60ZBZn5Oy1envlLHd2s7Od,2019,1,1,jp,0
72,73,2002,Anne-Marie,7610,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,1,jp,0
73,74,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7577,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,jp,0
74,75,Rise,Jonas Blue,7575,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,1,1,jp,0
75,76,トリコ,Nissy,7462,https://open.spotify.com/track/04vWAqnvToa2v4D4A2yhzH,2019,1,1,jp,0
76,77,ロビンソン,SPITZ,7456,https://open.spotify.com/track/5YP52gnoypy9H1jg5RIwUW,2019,1,1,jp,0
77,78,つつみ込むように・・・,MISIA,7119,https://open.spotify.com/track/6p6w8AOMCS2kzUOeGAlo2S,2019,1,1,jp,0
78,79,浪漫飛行,Kome Kome Club,7108,https://open.spotify.com/track/2iQeswvPmr9pAlBjx6Ilyb,2019,1,1,jp,0
79,80,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,7044,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,jp,0
80,81,Ambivalent,Keyakizaka46,7011,https://open.spotify.com/track/3pA7Zp3qRuAJOy7AqV7zcH,2019,1,1,jp,0
