,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,15135,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,pa,0
1,2,MIA (feat. Drake),Bad Bunny,15073,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,pa,0
2,3,Calma - Remix,Pedro Capó,14802,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,pa,0
3,4,Ella Quiere Beber - Remix,Anuel AA,14482,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,pa,0
4,5,Adan y Eva,Paulo Londra,12909,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,pa,0
5,6,Vaina Loca,Ozuna,12111,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,pa,0
6,7,Adictiva,Daddy Yankee,11895,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,1,pa,0
7,8,Solo de Mi,Bad Bunny,11477,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,1,1,pa,0
8,9,Lollipop,Boza,11450,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ,2019,1,1,pa,0
9,10,Bubalu,Becky G,11227,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,1,pa,0
10,11,Ibiza,Ozuna,9872,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019,1,1,pa,0
11,12,Desconocidos,Mau y Ricky,9395,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019,1,1,pa,0
12,13,Me Gustaría,Sech,8849,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r,2019,1,1,pa,0
13,14,Ni Gucci Ni Prada,Kenny Man,8510,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019,1,1,pa,0
