,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Bir İhtimal Biliyorum,Gülşen,108528,https://open.spotify.com/track/24mpJgP2YZUBif9NvmYyh4,2019,1,1,tr,0
1,2,3 2 1,Ben Fero,65605,https://open.spotify.com/track/15DPWEQ73JEW3pfyU6EcmR,2019,1,1,tr,0
2,3,Sana Doğru,Bora Duran,63799,https://open.spotify.com/track/79sYvkdnJGFrYx67nBL5Nk,2019,1,1,tr,0
3,4,Geceler,Ezhel,58366,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ,2019,1,1,tr,0
4,5,İçimdeki Sen,Bilal Sonses,56381,https://open.spotify.com/track/4JHfs0fmHtk9IbaQ3CqXSD,2019,1,1,tr,0
5,6,Kazıdık Tırnaklarla,Ezhel,52524,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv,2019,1,1,tr,0
6,7,KAFA10,Anıl Piyancı,50976,https://open.spotify.com/track/7fUGWMgLzsVdID1eKoPm3b,2019,1,1,tr,0
7,8,Mary Jane (Radio Edit),Burry Soprano,50296,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo,2019,1,1,tr,0
8,9,Unutturmam,Cengiz Ateş,45432,https://open.spotify.com/track/186rAYS0x7rX1IZXheLBoN,2019,1,1,tr,0
9,10,Leyla,Tahribad-ı İsyan,43807,https://open.spotify.com/track/31EltOuKi4PBBExtTTO00s,2019,1,1,tr,0
10,11,Mahallemiz Esmer,Ben Fero,41796,https://open.spotify.com/track/4dVq7rEV6AozzDX9fh9vVH,2019,1,1,tr,0
11,12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,41159,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,tr,0
12,13,Ay Tenli Kadın,Ufuk Beydemir,40578,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8,2019,1,1,tr,0
13,14,Elbet Bir Gün,Canbay & Wolker,39893,https://open.spotify.com/track/1PJ1BbGaVmLogYicLKoZix,2019,1,1,tr,0
14,15,Islah,Muşta,39739,https://open.spotify.com/track/5AS7el6HMlK5YcGeUSxR1n,2019,1,1,tr,0
15,16,Tarifi Zor,Soner Sarıkabadayı,39472,https://open.spotify.com/track/48BDdjRPUJLjqj7nVmrg4d,2019,1,1,tr,0
16,17,Yak Yak Yak,Şehinşah,39467,https://open.spotify.com/track/4GjIoWGPLf7C8LcjK1UNlS,2019,1,1,tr,0
17,18,İmkansızım,Ezhel,38140,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe,2019,1,1,tr,0
18,19,Boş Gemiler,Yüzyüzeyken Konuşuruz,37497,https://open.spotify.com/track/5xOAQ5o5mPI2FZZEOu1NZL,2019,1,1,tr,0
19,20,Oldu Olanlar,DJ Tarkan,36897,https://open.spotify.com/track/4LTHcXXwN8OW4fYm5sVNPP,2019,1,1,tr,0
20,21,Catla,Velet,36433,https://open.spotify.com/track/7xLuitKqUvy1854AiGaLY0,2019,1,1,tr,0
21,22,Öpücem,Simge,36285,https://open.spotify.com/track/1pq9w58vpi5nnEllpgl1tF,2019,1,1,tr,0
22,23,Bu Havada Gidilmez,Manuş Baba,35483,https://open.spotify.com/track/4ajGA8mtD6R2JylEbRLp5n,2019,1,1,tr,0
23,24,Unuturum Elbet,Rafet El Roman,34255,https://open.spotify.com/track/0s5Fwi2qaJqc6ZIdh6cJBy,2019,1,1,tr,0
24,25,Tamam Tamam,Summer Cem,34089,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1,2019,1,1,tr,0
25,26,Dünya'dan Atlas'a,Şehinşah,33999,https://open.spotify.com/track/0ewiq9snqyF3dULzbMqI3J,2019,1,1,tr,0
26,27,Milyon,Şehinşah,33325,https://open.spotify.com/track/2fqlGvVkoVDCRAA8O5r6bH,2019,1,1,tr,0
27,28,Dinle Beni Bi',Yüzyüzeyken Konuşuruz,33291,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ,2019,1,1,tr,0
28,29,Kiss and Make Up,Dua Lipa,33063,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,1,tr,0
29,30,In My Mind,Dynoro,32507,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,tr,0
30,31,Beni Sev,Hande Yener,30654,https://open.spotify.com/track/0bE8X3KwUifITMaibVR9eD,2019,1,1,tr,0
31,32,Ne Farkeder,Yüzyüzeyken Konuşuruz,30262,https://open.spotify.com/track/23KSyhPMqyUVrrLo300YiW,2019,1,1,tr,0
32,33,Bir Derdim Var,mor ve ötesi,30162,https://open.spotify.com/track/5oecOcmSEHs7MZiB0NPbFu,2019,1,1,tr,0
33,34,Yanlış,Tuğçe Kandemir,29179,https://open.spotify.com/track/1BFXF795GnN0AqjMDSfbSP,2019,1,1,tr,0
34,35,Say My Name,David Guetta,29166,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,1,tr,0
35,36,Kibir,Contra,28657,https://open.spotify.com/track/1y2mzrtAcHvmPJlNZUQ78e,2019,1,1,tr,0
