Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,235128,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,au,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
2,"thank u, next",Ariana Grande,208884,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,au,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
3,Without Me,Halsey,199646,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,au,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
4,Wow.,Post Malone,184674,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,au,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
5,Sweet but Psycho,Ava Max,181987,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,au,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
6,Eastside (with Halsey & Khalid),benny blanco,152363,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,au,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
7,Better,Khalid,132569,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,au,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
8,Shotgun,George Ezra,132262,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,au,0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4
9,SICKO MODE,Travis Scott,125835,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,au,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
10,Happier,Marshmello,118883,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,au,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
11,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,117297,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,au,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
12,Youngblood,5 Seconds of Summer,107495,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,1,1,au,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
13,Be Alright,Dean Lewis,107307,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,au,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
14,Bad Liar,Imagine Dragons,104714,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,au,0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,260773,4
15,Body (feat. Brando),Loud Luxury,102998,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,au,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
16,when the party's over,Billie Eilish,101875,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,au,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3
17,Shallow,Lady Gaga,93693,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,au,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
18,imagine,Ariana Grande,92543,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,au,0.714,0.474,8,-4.993,1,0.039,0.374,0,0.106,0.376,62.484,212293,3
19,Leave Me Lonely,Hilltop Hoods,91491,https://open.spotify.com/track/03Pg5wDlaYAZlTNLeAfl2r,2019,1,1,au,0.764,0.868,10,-5.827,1,0.0505,0.279,0,0.175,0.754,131.031,194560,4
