Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Benzema,Capital Bra,29206,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,1,ch,0.783,0.692,10,-6.156,0,0.329,0.485,0,0.12,0.26,100.082,159152,4
2,Sweet but Psycho,Ava Max,25261,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,ch,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
3,HaifischNikez Allstars,LX,20493,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,1,ch,0.764,0.744,11,-5.529,0,0.448,0.162,0,0.122,0.507,87.538,182925,4
4,Lelele,Azet,19556,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,1,ch,0.821,0.689,1,-5.02,1,0.229,0.0543,0.000137,0.0974,0.493,125.474,190341,5
5,High Hopes,Panic! At The Disco,19235,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,ch,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18238,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,ch,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
7,Baller los,MERO,16892,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1,ch,0.642,0.598,10,-8.716,0,0.283,0.505,0,0.129,0.508,170.185,160357,4
8,In My Mind,Dynoro,16313,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,ch,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
9,Tausend Tattoos,Sido,16125,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1,ch,0.675,0.803,6,-4.377,1,0.209,0.146,0,0.199,0.342,92.018,205280,4
10,MIA (feat. Drake),Bad Bunny,15159,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,ch,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
11,Wow.,Post Malone,15068,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ch,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
12,Without Me,Halsey,14609,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ch,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
13,Shallow,Lady Gaga,13886,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,ch,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
14,"thank u, next",Ariana Grande,13637,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ch,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
15,Be Alright,Dean Lewis,13391,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,ch,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
16,Bad Liar,Imagine Dragons,12867,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,ch,0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,260773,4
17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,12496,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,ch,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4
18,ZEZE,Kodak Black,12366,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,ch,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
19,Happier,Marshmello,11950,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ch,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,11118,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ch,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
21,SICKO MODE,Travis Scott,10747,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,ch,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
22,Promises (with Sam Smith),Calvin Harris,10155,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,ch,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
23,Bohemian Rhapsody - Remastered 2011,Queen,9927,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,ch,0.397,0.396,3,-9.91,1,0.05,0.254,0,0.268,0.227,142.913,354320,4
24,Let You Love Me,Rita Ora,9820,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,ch,0.475,0.846,10,-3.344,1,0.283,0.275,0,0.0824,0.451,96.036,191120,4
25,079,Lo & Leduc,9536,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9,2019,1,1,ch,0.879,0.598,9,-5.698,1,0.0923,0.24,0,0.169,0.688,144.989,204472,4
26,Mo Bamba,Sheck Wes,9327,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,ch,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
