Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Calma - Remix,Pedro Capó,39632,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,cr
2,Adan y Eva,Paulo Londra,30209,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,cr
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,27463,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,cr
4,MIA (feat. Drake),Bad Bunny,22989,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,cr
5,Desconocidos,Mau y Ricky,20115,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019,1,1,cr
6,Ella Quiere Beber - Remix,Anuel AA,19866,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,cr
7,Vaina Loca,Ozuna,18820,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,cr
8,Cuando Te Besé,Becky G,15124,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,1,cr
9,Bubalu,Becky G,13476,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,1,cr
10,Ibiza,Ozuna,12973,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019,1,1,cr
11,BEBE,6ix9ine,12164,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,1,cr
12,Ya No Tiene Novio,Sebastian Yatra,12048,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,1,1,cr
13,Ni Gucci Ni Prada,Kenny Man,11763,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019,1,1,cr
14,Adictiva,Daddy Yankee,11613,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,1,cr
15,Quiere Beber,Anuel AA,11303,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2019,1,1,cr
16,Te Boté - Remix,Nio Garcia,11275,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019,1,1,cr
17,Puntos Suspensivos,Piso 21,11124,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019,1,1,cr
18,Imposible,Luis Fonsi,10368,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,1,1,cr
19,El Año Viejo,Tony Camargo,9645,https://open.spotify.com/track/5PZlMcW7VUlti8IRdApRIn,2019,1,1,cr
20,Cómo Te Voy A Olvidar,Los Angeles Azules,9615,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,2019,1,1,cr
21,La player (Bandolera),Zion & Lennox,9570,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,2019,1,1,cr
22,No Es Justo,J Balvin,9547,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019,1,1,cr
23,Solo de Mi,Bad Bunny,9527,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,1,1,cr
24,"thank u, next",Ariana Grande,9106,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,cr
25,Amigos Con Derechos,Reik,8878,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019,1,1,cr
26,Culpables,KAROL G,8870,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019,1,1,cr
27,Déjala que vuelva (feat. Manuel Turizo),Piso 21,8496,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,2019,1,1,cr
28,Asesina - Remix,Brytiago,8356,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019,1,1,cr
29,Reggaeton,J Balvin,8208,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,1,1,cr
30,Créeme,KAROL G,8160,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019,1,1,cr
31,Mala Mía,Maluma,7768,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019,1,1,cr
32,El Listón De Tu Pelo,Los Angeles Azules,7594,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,2019,1,1,cr
33,Bohemian Rhapsody - Remastered 2011,Queen,7574,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,cr
34,Sin Pijama,Becky G,7432,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019,1,1,cr
35,Adiós Amor,Christian Nodal,7317,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2019,1,1,cr
36,Me Rehúso,Danny Ocean,7236,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2019,1,1,cr
37,Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,7215,https://open.spotify.com/track/12H7K15h3aC5vRCaca65el,2019,1,1,cr
38,No Me Acuerdo,Thalía,7214,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O,2019,1,1,cr
39,Vivir Mi Vida,Marc Anthony,7025,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ,2019,1,1,cr
40,Lloraras,Oscar D'León,6792,https://open.spotify.com/track/6QJ1F9DrlsRSmKDcdVS0Oy,2019,1,1,cr
