Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Benzema,Capital Bra,439742,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,1,de,0.783,0.692,10,-6.156,0,0.329,0.485,0,0.12,0.26,100.082,159152,4
2,HaifischNikez Allstars,LX,373845,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,1,de,0.764,0.744,11,-5.529,0,0.448,0.162,0,0.122,0.507,87.538,182925,4
3,Sweet but Psycho,Ava Max,353209,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,de,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
4,Baller los,MERO,285326,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1,de,0.642,0.598,10,-8.716,0,0.283,0.505,0,0.129,0.508,170.185,160357,4
5,Tausend Tattoos,Sido,247009,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1,de,0.675,0.803,6,-4.377,1,0.209,0.146,0,0.199,0.342,92.018,205280,4
6,Lelele,Azet,240526,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,1,de,0.821,0.689,1,-5.02,1,0.229,0.0543,0.000137,0.0974,0.493,125.474,190341,5
7,High Hopes,Panic! At The Disco,238731,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,de,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
8,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,215591,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019,1,1,de,0.826,0.76,1,-6.591,1,0.187,0.146,0,0.155,0.875,88.999,195291,4
9,In My Mind,Dynoro,205476,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,de,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
10,500 PS,Bonez MC,181041,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,1,1,de,0.805,0.924,7,-5.883,0,0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4
