Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12149,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,hk
2,"thank u, next",Ariana Grande,11731,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,hk
3,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,10156,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019,1,1,hk
4,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,8714,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019,1,1,hk
5,Without Me,Halsey,8334,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,hk
6,Wow.,Post Malone,8048,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,hk
7,百年樹木,Hins Cheung,6950,https://open.spotify.com/track/5ql4tlxS3GtADNsSRi2GnW,2019,1,1,hk
8,SOLO,JENNIE,6673,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019,1,1,hk
9,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,6514,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,hk
10,imagine,Ariana Grande,6382,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,hk
11,龍舌蘭,Eason Chan,6351,https://open.spotify.com/track/2yJuzhRAp75De9QFcR0qXl,2019,1,1,hk
12,Sweet but Psycho,Ava Max,5957,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,hk
13,(一個男人) 一個女人 和浴室,Louis Koo,5939,https://open.spotify.com/track/5NvsRbIoMFMqBAVFHn1f3X,2019,1,1,hk
14,Shallow,Lady Gaga,5610,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,hk
15,漸漸,Eason Chan,5488,https://open.spotify.com/track/1o5PE9VNUd8EJtcYLA3QxP,2019,1,1,hk
16,Saturday Nights,Khalid,5411,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,1,hk
17,認真如初,Jason Chan,4983,https://open.spotify.com/track/2rdcqS9cMomMCHqtX3v7hM,2019,1,1,hk
18,Bad Liar,Imagine Dragons,4844,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,hk
19,Always Remember Us This Way,Lady Gaga,4769,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019,1,1,hk
20,我們萬歲,Eason Chan,4601,https://open.spotify.com/track/36zXp2vEis00HRdX3pYEMr,2019,1,1,hk
21,Girls Like You (feat. Cardi B),Maroon 5,4581,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,hk
22,Happier,Marshmello,4539,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,hk
23,春秋,Hins Cheung,4432,https://open.spotify.com/track/2WVbMoHdWCspdiEa7OnG1D,2019,1,1,hk
24,永遠飛行模式,Dear Jane,4267,https://open.spotify.com/track/5EIzOqZAhzahqfECAm68sY,2019,1,1,hk
25,Going Bad (feat. Drake),Meek Mill,4248,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,hk
26,未來見,RubberBand,4180,https://open.spotify.com/track/5OPqZ5dEqrdPGatJgnZ8xG,2019,1,1,hk
27,勇悍・17,Juno Mak,4180,https://open.spotify.com/track/58nDLotEOqoDorTkvz4tJf,2019,1,1,hk
28,Eastside (with Halsey & Khalid),benny blanco,4071,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,hk
29,睡皇后,G.E.M.,4019,https://open.spotify.com/track/3f7D4hlFcvAWCPilTOGJEy,2019,1,1,hk
30,心之科學,Joey Yung,4013,https://open.spotify.com/track/1gVMd7oYGo6Whlgg7pAa7M,2019,1,1,hk
31,Better,Khalid,3947,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,hk
32,Kiss and Make Up,Dua Lipa,3910,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,1,hk
33,說散就散,JC 陳泳彤,3881,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC,2019,1,1,hk
34,等你下課,Jay Chou,3825,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV,2019,1,1,hk
35,"但願人長久 - 劇集 ""跳躍生命線"" 插曲",HANA,3822,https://open.spotify.com/track/1aJOV8dO0bxMZ7x7EGp3fX,2019,1,1,hk
36,Shape of You,Ed Sheeran,3762,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,hk
37,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,3761,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,1,hk
38,在月台上等你,Janice Vidal,3752,https://open.spotify.com/track/4apKcYGPasaBCwmEVvGB0k,2019,1,1,hk
39,High Hopes,Panic! At The Disco,3748,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,hk
40,Havana (feat. Young Thug),Camila Cabello,3738,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,1,1,hk
41,Ruin My Life,Zara Larsson,3713,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,hk
42,SICKO MODE,Travis Scott,3696,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,hk
43,一個女人和浴室,Kay Tse,3589,https://open.spotify.com/track/4IxKTRZn3KQxj3dwwqbyGi,2019,1,1,hk
44,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,3571,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,hk
45,別𠱁我,JC 陳泳彤,3541,https://open.spotify.com/track/6VeoA1vxx9dueepuakIbMr,2019,1,1,hk
46,Darkside,Alan Walker,3501,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,2019,1,1,hk
47,告白氣球,Jay Chou,3493,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk,2019,1,1,hk
