Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,今夜このまま,Aimyon,33176,https://open.spotify.com/track/0sSG83UxY15ft1E2N9THYF,2019,1,1,jp,0.441,0.852,1,-3.595,1,0.0383,0.0254,0,0.0862,0.64,104.855,238093,4
2,マリーゴールド,Aimyon,32759,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg,2019,1,1,jp,0.54,0.8,2,-2.299,1,0.0304,0.0849,0,0.0836,0.378,106.098,308107,4
3,U.S.A.,DA PUMP,30172,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13,2019,1,1,jp,0.71,0.988,7,-1.594,1,0.0641,0.0144,0,0.102,0.929,139.56,239133,4
4,君はロックを聴かない,Aimyon,28155,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,2019,1,1,jp,0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919,246307,4
5,打上花火,DAOKO×米津玄師,28140,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa,2019,1,1,jp,0.625,0.668,6,-4.315,1,0.0249,0.288,0,0.107,0.292,95.968,289578,4
6,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,20929,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3,2019,1,1,jp,0.379,0.653,6,-6.247,1,0.0338,0.0241,0,0.196,0.303,179.964,262693,4
7,Bohemian Rhapsody - Remastered 2011,Queen,20014,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,jp,0.397,0.396,3,-9.91,1,0.05,0.254,0,0.268,0.227,142.913,354320,4
8,愛を伝えたいだとか,Aimyon,19893,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,2019,1,1,jp,0.673,0.85,2,-5.021,1,0.0337,0.0345,1.14e-05,0.0943,0.793,100.008,235241,4
9,Shape of You,Ed Sheeran,19815,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,1,jp,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
10,ワタリドリ,[ALEXANDROS],18551,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,2019,1,1,jp,0.508,0.964,9,-4.077,1,0.0831,0.00141,0,0.197,0.609,134.982,248707,4
11,HANABI,Mr.Children,18389,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i,2019,1,1,jp,0.638,0.766,1,-5.541,1,0.0268,0.156,0,0.124,0.595,112.0,342773,4
12,愛をこめて花束を,Superfly,17706,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,2019,1,1,jp,0.37,0.8,7,-3.403,1,0.0436,0.151,3.33e-06,0.089,0.451,161.934,295600,4
13,恋音と雨空,AAA,17561,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,2019,1,1,jp,0.625,0.86,1,-4.456,1,0.0314,0.0512,0,0.408,0.533,129.064,316187,4
14,YES or YES,TWICE,16808,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP,2019,1,1,jp,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71e-06,0.166,0.735,137.982,237685,4
15,小さな恋のうた,MONGOL800,16721,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg,2019,1,1,jp,0.403,0.87,11,-1.871,1,0.0474,0.00465,0,0.139,0.549,115.398,222520,4
16,Change,ONE OK ROCK,16041,https://open.spotify.com/track/6KBj27Bko8gh71gpx0PzIG,2019,1,1,jp,0.357,0.75,8,-4.971,1,0.0533,0.00245,0,0.372,0.326,89.632,174628,4
17,"thank u, next",Ariana Grande,15624,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,jp,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
18,Wherever you are,ONE OK ROCK,15603,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ,2019,1,1,jp,0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,295600,4
19,Sayonara Elegy,Masaki Suda,14656,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D,2019,1,1,jp,0.466,0.934,1,-2.739,1,0.0539,0.00333,0,0.277,0.62,154.966,257067,4
20,Stand Out Fit In,ONE OK ROCK,14601,https://open.spotify.com/track/1vVm7saDXHk99SU5BFUDpp,2019,1,1,jp,0.619,0.849,11,-5.397,1,0.0417,0.0192,0,0.144,0.212,126.035,214582,4
21,Kaerimichiwa Toomawarishitakunaru,Nogizaka46,14595,https://open.spotify.com/track/08XBLK5BlN5ZBLukMO49jy,2019,1,1,jp,0.51,0.857,1,-2.716,1,0.0404,0.461,0,0.0793,0.684,138.064,269707,4
22,366日,HY,13821,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,2019,1,1,jp,0.378,0.426,8,-7.314,1,0.0308,0.675,0,0.207,0.184,152.03,352507,4
23,ハナミズキ,Yo Hitoto,13703,https://open.spotify.com/track/4PqDkR6YM80Sy590Qsy6mm,2019,1,1,jp,0.476,0.457,4,-5.447,1,0.0285,0.445,0,0.341,0.265,140.142,330293,4
24,貴方解剖純愛歌〜死ね〜,Aimyon,13687,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL,2019,1,1,jp,0.422,0.918,7,-3.347,1,0.069,0.0028,0,0.0409,0.469,168.029,266520,4
25,Somebody To Love - Remastered 2011,Queen,13632,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2019,1,1,jp,0.492,0.676,8,-6.861,1,0.0516,0.172,0,0.239,0.412,110.232,296493,3
26,Don't Stop Me Now - Remastered,Queen,13394,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,1,1,jp,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4
