Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1867789,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,us,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
2,Wow.,Post Malone,1564946,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,us,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
3,SICKO MODE,Travis Scott,1454622,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,us,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
4,"thank u, next",Ariana Grande,1397512,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,us,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
5,Going Bad (feat. Drake),Meek Mill,1245437,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,us,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
6,Mo Bamba,Sheck Wes,1188824,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,us,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1178459,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,us,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
8,ZEZE,Kodak Black,1163374,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,us,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
9,Without Me,Halsey,972371,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,us,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
10,Leave Me Alone,Flipp Dinero,858875,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,1,us,0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4
11,Lucid Dreams,Juice WRLD,804928,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,us,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
12,Wake Up in the Sky,Gucci Mane,800164,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,1,1,us,0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,203161,4
13,Happier,Marshmello,736137,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,us,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
14,a lot,21 Savage,708965,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,1,us,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
15,Money,Cardi B,697968,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,1,1,us,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4
16,MIA (feat. Drake),Bad Bunny,693951,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,us,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
17,I Like It,Cardi B,692217,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,us,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
18,Look Back at It,A Boogie Wit da Hoodie,685428,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,1,us,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,179449,4
19,Better Now,Post Malone,677444,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,us,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4
20,SAD!,XXXTENTACION,672912,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,1,us,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
21,Eastside (with Halsey & Khalid),benny blanco,651817,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,us,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
22,God's Plan,Drake,651722,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,us,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
23,rockstar (feat. 21 Savage),Post Malone,625774,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,us,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147,4
24,Nonstop,Drake,621972,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,1,us,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
25,High Hopes,Panic! At The Disco,619788,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,us,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
26,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,617625,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019,1,1,us,0.736,0.622,6,-4.653,0,0.133,0.0235,0,0.151,0.506,191.971,192779,4
27,monster,21 Savage,609270,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019,1,1,us,0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,233040,4
