,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,225280,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ca,0
1,2,Wow.,Post Malone,210638,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ca,0
2,3,SICKO MODE,Travis Scott,196378,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,ca,0
3,4,"thank u, next",Ariana Grande,195971,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ca,0
4,5,Going Bad (feat. Drake),Meek Mill,157739,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,ca,0
5,6,ZEZE,Kodak Black,142000,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,ca,0
6,7,Mo Bamba,Sheck Wes,133092,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,ca,0
7,8,Without Me,Halsey,123241,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ca,0
8,9,Happier,Marshmello,122434,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ca,0
9,10,Eastside (with Halsey & Khalid),benny blanco,118666,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,ca,0
10,11,I Like It,Cardi B,114700,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,ca,0
11,12,God's Plan,Drake,112674,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,1,ca,0
12,13,Drip Too Hard (Lil Baby & Gunna),Lil Baby,110247,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,1,ca,0
13,14,MIA (feat. Drake),Bad Bunny,109852,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,ca,0
14,15,Lucid Dreams,Juice WRLD,105942,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,ca,0
15,16,rockstar (feat. 21 Savage),Post Malone,104074,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,ca,0
16,17,Better Now,Post Malone,99194,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,ca,0
17,18,Girls Like You (feat. Cardi B),Maroon 5,98080,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,ca,0
18,19,Sweet but Psycho,Ava Max,90200,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,ca,0
19,20,High Hopes,Panic! At The Disco,89657,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,ca,0
20,21,Nonstop,Drake,89480,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,1,ca,0
21,22,In My Feelings,Drake,82232,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,1,ca,0
22,23,Taste (feat. Offset),Tyga,81792,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,ca,0
