,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Adan y Eva,Paulo Londra,284493,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,es,0
1,2,MALA,6ix9ine,218829,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019,1,1,es,0
2,3,Adictiva,Daddy Yankee,202504,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,1,es,0
3,4,MIA (feat. Drake),Bad Bunny,187984,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,es,0
4,5,Ella Quiere Beber - Remix,Anuel AA,174778,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,es,0
5,6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,170698,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,es,0
6,7,Booty,C. Tangana,169766,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019,1,1,es,0
7,8,NI BIEN NI MAL,Bad Bunny,156397,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,1,1,es,0
8,9,Imposible,Luis Fonsi,147659,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,1,1,es,0
9,10,Vas A Quedarte,Aitana,146206,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019,1,1,es,0
10,11,Amanece,Anuel AA,141624,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019,1,1,es,0
11,12,Vaina Loca,Ozuna,137770,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,es,0
12,13,Solo de Mi,Bad Bunny,137720,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,1,1,es,0
13,14,Calma - Remix,Pedro Capó,133955,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,es,0
14,15,Bubalu,Becky G,125678,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,1,es,0
15,16,MALAMENTE - Cap.1: Augurio,ROSALÍA,125613,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,2019,1,1,es,0
16,17,Está Rico,Marc Anthony,122574,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2019,1,1,es,0
17,18,Replay,Maikel Delacalle,111582,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb,2019,1,1,es,0
18,19,Ibiza,Ozuna,110132,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019,1,1,es,0
19,20,BEBE,6ix9ine,104485,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,1,es,0
20,21,Mujer Bruja,Lola Indigo,102902,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA,2019,1,1,es,0
21,22,Cuando Te Besé,Becky G,101367,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,1,es,0
22,23,Sin Pijama,Becky G,94910,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019,1,1,es,0
23,24,Lo siento,Beret,93481,https://open.spotify.com/track/4S6gJt4RYR34t4sjW8wEah,2019,1,1,es,0
24,25,TELÉFONO,Aitana,91881,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly,2019,1,1,es,0
25,26,Asesina - Remix,Brytiago,91738,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019,1,1,es,0
26,27,Reggaeton,J Balvin,89718,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,1,1,es,0
27,28,Desde el Corazón,Bad Bunny,89289,https://open.spotify.com/track/1R2mapMAUiYqre6jcFX57g,2019,1,1,es,0
28,29,Antes de Morirme (feat. Rosalía),C. Tangana,87170,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE,2019,1,1,es,0
29,30,Mujeres,Mozart La Para,83427,https://open.spotify.com/track/6xLvYhLOW2oETJoZv8ChU8,2019,1,1,es,0
30,31,Ta To Gucci (Remix),Cauty,81552,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C,2019,1,1,es,0
31,32,Culpables,KAROL G,79803,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019,1,1,es,0
32,33,Ni La Hora,Ana Guerra,78727,https://open.spotify.com/track/1he4G9w0zh5GokInpOSINW,2019,1,1,es,0
33,34,Te Boté - Remix,Nio Garcia,78046,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019,1,1,es,0
34,35,Mocca - Remix,Lalo Ebratt,76635,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA,2019,1,1,es,0
35,36,Qué Tienes Tú,Dvicio,72786,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9,2019,1,1,es,0
36,37,PPP,Kevin Roldan,70291,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019,1,1,es,0
37,38,Ya No Quiero Ná,Lola Indigo,70282,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX,2019,1,1,es,0
38,39,No Me Acuerdo,Thalía,68741,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O,2019,1,1,es,0
39,40,Celoso,Lele Pons,68723,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg,2019,1,1,es,0
