,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Calma - Remix,Pedro Capó,737894,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,mx,0
1,2,Adan y Eva,Paulo Londra,415066,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,mx,0
2,3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,409061,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,mx,0
3,4,MIA (feat. Drake),Bad Bunny,377855,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,mx,0
4,5,A Través Del Vaso,Grupo Arranke,346975,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019,1,1,mx,0
5,6,Ella Quiere Beber - Remix,Anuel AA,325495,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,mx,0
6,7,Baby Girl (feat. Lalo Ebratt),Mario Bautista,317654,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019,1,1,mx,0
7,8,No Te Contaron Mal,Christian Nodal,306857,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019,1,1,mx,0
8,9,Nunca Es Suficiente,Los Angeles Azules,300365,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,2019,1,1,mx,0
9,10,Amigos Con Derechos,Reik,285842,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019,1,1,mx,0
10,11,Desconocidos,Mau y Ricky,271904,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019,1,1,mx,0
11,12,Vaina Loca,Ozuna,261369,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,mx,0
12,13,Ahora Te Puedes Marchar,Luis Miguel,246682,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E,2019,1,1,mx,0
13,14,Ya No Tiene Novio,Sebastian Yatra,241583,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,1,1,mx,0
14,15,El Listón De Tu Pelo,Los Angeles Azules,213762,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,2019,1,1,mx,0
15,16,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,212055,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY,2019,1,1,mx,0
16,17,BEBE,6ix9ine,208872,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,1,mx,0
17,18,Aerolínea Carrillo,T3R Elemento,207164,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL,2019,1,1,mx,0
18,19,Cómo Te Voy A Olvidar,Los Angeles Azules,205161,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,2019,1,1,mx,0
19,20,In My Mind,Dynoro,204564,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,1,mx,0
20,21,No Es Justo,J Balvin,199350,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019,1,1,mx,0
21,22,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,198878,https://open.spotify.com/track/5OUGSwa2eadrcAsMdUItmO,2019,1,1,mx,0
22,23,Cuando Te Besé,Becky G,193090,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,1,mx,0
23,24,"thank u, next",Ariana Grande,187036,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,mx,0
