,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,39055,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,nz,0
1,2,"thank u, next",Ariana Grande,38962,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,nz,0
2,3,Sweet but Psycho,Ava Max,37079,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,nz,0
3,4,Without Me,Halsey,32277,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,nz,0
4,5,Wow.,Post Malone,31076,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,nz,0
5,6,Shotgun,George Ezra,30989,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,1,nz,0
6,7,Better,Khalid,27953,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,nz,0
7,8,Eastside (with Halsey & Khalid),benny blanco,27206,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,nz,0
8,9,Shallow,Lady Gaga,26200,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,1,nz,0
9,10,Happier,Marshmello,25309,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,nz,0
10,11,SICKO MODE,Travis Scott,23470,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,1,nz,0
11,12,Body (feat. Brando),Loud Luxury,21426,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,1,nz,0
12,13,Vibes,Six60,21245,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,1,1,nz,0
13,14,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,20152,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,1,nz,0
14,15,when the party's over,Billie Eilish,20122,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,1,nz,0
15,16,Mo Bamba,Sheck Wes,19405,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,1,nz,0
16,17,ZEZE,Kodak Black,19396,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,1,nz,0
17,18,Youngblood,5 Seconds of Summer,19372,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,1,1,nz,0
18,19,imagine,Ariana Grande,18185,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,nz,0
19,20,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,18167,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,nz,0
20,21,Be Alright,Dean Lewis,18090,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,nz,0
21,22,Bad Liar,Imagine Dragons,18064,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,nz,0
22,23,Always Remember Us This Way,Lady Gaga,16743,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019,1,1,nz,0
23,24,High Hopes,Panic! At The Disco,16733,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,nz,0
24,25,Girls Like You (feat. Cardi B),Maroon 5,16444,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,nz,0
25,26,Better Now,Post Malone,15842,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,1,nz,0
26,27,Promises (with Sam Smith),Calvin Harris,15397,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,1,1,nz,0
27,28,Going Bad (feat. Drake),Meek Mill,15250,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,1,nz,0
28,29,Let You Love Me,Rita Ora,15011,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,1,nz,0
29,30,Love Someone,Lukas Graham,14844,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,1,1,nz,0
30,31,Bohemian Rhapsody - Remastered 2011,Queen,14781,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,1,nz,0
31,32,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,14614,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,1,nz,0
32,33,Taste (feat. Offset),Tyga,14319,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,1,nz,0
33,34,Lucid Dreams,Juice WRLD,13887,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,1,nz,0
34,35,I Like It,Cardi B,13620,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,1,nz,0
35,36,Ruin My Life,Zara Larsson,13603,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,nz,0
36,37,Rise,Jonas Blue,13591,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,1,1,nz,0
37,38,2002,Anne-Marie,13488,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,1,nz,0
38,39,Money,Cardi B,13203,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,1,1,nz,0
39,40,rockstar (feat. 21 Savage),Post Malone,13087,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,1,nz,0
40,41,lovely,Billie Eilish,13041,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,1,nz,0
41,42,6 Figures,Kings,12790,https://open.spotify.com/track/1Q8OgsmxcnoGev6T7KUenD,2019,1,1,nz,0
42,43,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,12712,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,nz,0
