,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,"thank u, next",Ariana Grande,194707,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,ph,0
1,2,Buwan,juan karlos,194648,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2019,1,1,ph,0
2,3,Kung 'Di Rin Lang Ikaw,December Avenue,191715,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2019,1,1,ph,0
3,4,Sana,I Belong to the Zoo,182965,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0,2019,1,1,ph,0
4,5,Kahit Ayaw Mo Na,This Band,177283,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6,2019,1,1,ph,0
5,6,Sa Ngalan Ng Pag-Ibig,December Avenue,149979,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2019,1,1,ph,0
6,7,Malibu Nights,LANY,135105,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2019,1,1,ph,0
7,8,Kathang Isip,Ben&Ben,134581,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2019,1,1,ph,0
8,9,Maybe The Night,Ben&Ben,129932,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei,2019,1,1,ph,0
9,10,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,129828,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,ph,0
10,11,Happier,Marshmello,129288,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,ph,0
11,12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,126631,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,ph,0
12,13,Love Someone,Lukas Graham,116091,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,1,1,ph,0
13,14,Girls Like You (feat. Cardi B),Maroon 5,112972,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,ph,0
14,15,2002,Anne-Marie,112511,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,1,ph,0
15,16,Mundo,IV Of Spades,106877,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2019,1,1,ph,0
16,17,Bulong,December Avenue,104742,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2019,1,1,ph,0
17,18,Beautiful (feat. Camila Cabello),Bazzi,98455,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,1,1,ph,0
18,19,Without Me,Halsey,87514,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,ph,0
19,20,Weak,Khel Pangilinan,85959,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2019,1,1,ph,0
20,21,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,84661,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,1,ph,0
21,22,Thru These Tears,LANY,83454,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2019,1,1,ph,0
22,23,Eastside (with Halsey & Khalid),benny blanco,78739,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,ph,0
23,24,Kiss and Make Up,Dua Lipa,78281,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,1,ph,0
24,25,'Di Na Muli,Janine Teñoso,75224,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2019,1,1,ph,0
25,26,IDGAF,Dua Lipa,75091,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019,1,1,ph,0
26,27,Hindi Na Nga,This Band,74099,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l,2019,1,1,ph,0
27,28,Kahit Di Mo Alam,December Avenue,73869,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC,2019,1,1,ph,0
28,29,SOLO,JENNIE,72673,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019,1,1,ph,0
29,30,Best Part (feat. Daniel Caesar),H.E.R.,71804,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019,1,1,ph,0
30,31,Ex,Callalily,69562,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo,2019,1,1,ph,0
31,32,imagine,Ariana Grande,69282,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,ph,0
32,33,Better,Khalid,68956,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,ph,0
33,34,This Feeling,The Chainsmokers,65122,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,1,ph,0
34,35,You Are The Reason,Calum Scott,64942,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B,2019,1,1,ph,0
35,36,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,64299,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,ph,0
36,37,I Don't Wanna Love You Anymore,LANY,63810,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2019,1,1,ph,0
37,38,Balang Araw,I Belong to the Zoo,63555,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2019,1,1,ph,0
38,39,I Like Me Better,Lauv,60949,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,1,1,ph,0
39,40,8 Letters,Why Don't We,59196,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,2019,1,1,ph,0
40,41,Ruin My Life,Zara Larsson,58762,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,ph,0
41,42,Tagpuan,Moira Dela Torre,53474,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2019,1,1,ph,0
42,43,Thick And Thin,LANY,52485,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8,2019,1,1,ph,0
43,44,Midnight Sky,Unique Salonga,52350,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL,2019,1,1,ph,0
44,45,The Middle,Zedd,51884,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,1,1,ph,0
45,46,Akala,Marion,48942,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj,2019,1,1,ph,0
46,47,Wow.,Post Malone,48302,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,ph,0
47,48,Be Alright,Dean Lewis,47694,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,ph,0
48,49,Saturday Nights,Khalid,46224,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,1,ph,0
49,50,Switch It Up,Lavaado,45046,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh,2019,1,1,ph,0
50,51,Pasensya Ka Na,Silent Sanctuary,43522,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2019,1,1,ph,0
51,52,Say You Won't Let Go,James Arthur,42757,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019,1,1,ph,0
52,53,Too Good At Goodbyes,Sam Smith,40002,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019,1,1,ph,0
53,54,Woman Like Me (feat. Nicki Minaj),Little Mix,38539,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,1,1,ph,0
54,55,Freaky Friday (feat. Chris Brown),Lil Dicky,38467,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,2019,1,1,ph,0
55,56,What Lovers Do,Maroon 5,38067,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g,2019,1,1,ph,0
56,57,Rewrite The Stars,Zac Efron,37927,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2019,1,1,ph,0
57,58,BBoom BBoom,MOMOLAND,37150,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,2019,1,1,ph,0
58,59,Waste It On Me (feat. BTS),Steve Aoki,37142,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,2019,1,1,ph,0
59,60,Sweet but Psycho,Ava Max,36734,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,ph,0
60,61,Tadhana,Up Dharma Down,36659,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2019,1,1,ph,0
61,62,Bakit Ba Ikaw,Michael Pangilinan,36534,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s,2019,1,1,ph,0
