,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,Adan y Eva,Paulo Londra,38417,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,1,py,0
1,2,Calma - Remix,Pedro Capó,35815,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,1,py,0
2,3,Desconocidos,Mau y Ricky,26600,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019,1,1,py,0
3,4,Ella Quiere Beber - Remix,Anuel AA,25209,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,1,py,0
4,5,Bubalu,Becky G,24363,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,1,py,0
5,6,MIA (feat. Drake),Bad Bunny,23934,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,1,py,0
6,7,Adictiva,Daddy Yankee,21897,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,1,py,0
7,8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21487,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,py,0
8,9,Amanece,Anuel AA,18718,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019,1,1,py,0
9,10,PPP,Kevin Roldan,17800,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019,1,1,py,0
10,11,Vaina Loca,Ozuna,17619,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,1,py,0
11,12,Reggaeton,J Balvin,16767,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,1,1,py,0
12,13,Cuando Te Besé,Becky G,15439,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,1,py,0
13,14,Culpables,KAROL G,15022,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019,1,1,py,0
14,15,Ya No Tiene Novio,Sebastian Yatra,14048,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,1,1,py,0
15,16,Solo de Mi,Bad Bunny,13777,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,1,1,py,0
16,17,Puntos Suspensivos,Piso 21,13204,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019,1,1,py,0
17,18,BEBE,6ix9ine,13065,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,1,py,0
18,19,Imposible,Luis Fonsi,12847,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,1,1,py,0
19,20,Mala Mía,Maluma,11914,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019,1,1,py,0
20,21,La Forma en Que Me Miras,Super Yei,11577,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW,2019,1,1,py,0
21,22,A Solas - Remix,Lunay,11393,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7,2019,1,1,py,0
22,23,Asesina - Remix,Brytiago,11180,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019,1,1,py,0
