,Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,Age on Chart
0,1,"thank u, next",Ariana Grande,38316,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,1,sg,0
1,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,36814,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,1,sg,0
2,3,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,34781,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019,1,1,sg,0
3,4,Without Me,Halsey,28679,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,1,sg,0
4,5,SOLO,JENNIE,27734,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019,1,1,sg,0
5,6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,23696,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019,1,1,sg,0
6,7,Sweet but Psycho,Ava Max,22560,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,1,sg,0
7,8,Kiss and Make Up,Dua Lipa,20946,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,1,sg,0
8,9,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,19925,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,1,sg,0
9,10,Love Someone,Lukas Graham,19834,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,1,1,sg,0
10,11,Happier,Marshmello,19302,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,1,sg,0
11,12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18321,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,1,sg,0
12,13,Be Alright,Dean Lewis,17938,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,1,sg,0
13,14,Saturday Nights,Khalid,17906,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,1,sg,0
14,15,Beautiful (feat. Camila Cabello),Bazzi,17395,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,1,1,sg,0
15,16,Wow.,Post Malone,17391,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,1,sg,0
16,17,Eastside (with Halsey & Khalid),benny blanco,17057,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,1,sg,0
17,18,Empty Space,James Arthur,16407,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe,2019,1,1,sg,0
18,19,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,16328,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,1,sg,0
19,20,imagine,Ariana Grande,16259,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,1,sg,0
20,21,Better,Khalid,15533,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,1,sg,0
21,22,High Hopes,Panic! At The Disco,15478,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1,sg,0
22,23,Girls Like You (feat. Cardi B),Maroon 5,15349,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,1,sg,0
23,24,2002,Anne-Marie,14384,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,1,sg,0
24,25,Bad Liar,Imagine Dragons,14339,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,1,1,sg,0
25,26,Ruin My Life,Zara Larsson,13393,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,1,sg,0
26,27,Waste It On Me (feat. BTS),Steve Aoki,13186,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,2019,1,1,sg,0
27,28,DDU-DU DDU-DU - KR Ver.,BLACKPINK,13028,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu,2019,1,1,sg,0
28,29,This Feeling,The Chainsmokers,12927,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,1,sg,0
29,30,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,12302,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,2019,1,1,sg,0
